stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,1.07,3.21,4.28,0,0,2.14,0,1.07,0,0,0,0
21Day,14.72,0,0,2.68,0,0,0,0,0,2.68,0,0,0,0,0,0,4.02,0,4.02,0,0,0,1.34,0,1.34,1.34,0,0,0
3Month,0.32,1.28,0.64,0.96,0.32,0.64,0.64,0.32,0,121.26,0.96,0.32,3.2,0.64,0.64,1.92,1.6,0,0.64,0,0.64,0.32,0,1.92,38.39,0,0.96,2.24,0.32
22Month,0,0,0,1.64,0.55,0,0.55,0.55,0,91.29,0.55,0.55,2.73,0,0,0,1.09,0,0,0,0,0,0,0,25.69,0,0,0,0
