stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0.32,0,7.68,0.32,0,0,0,5.44,0.64,0,0.64,0.32,1.28,0.64,0.64,0,0.64,0,0,0.32,0.32,0,0.32,1.6,0.32,1.6,0.32
22Month,1.64,0.55,4.92,0.55,0.55,1.64,69.97,30.07,1.64,1.09,2.73,0,0.55,1.64,2.19,1.09,0.55,0.55,0,0.55,0.55,0,0,0.55,1.09,0,0.55
