stage,Epithelial_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,12.26,0,0,0,0
72hpf,0,0,0,2.14,0,1.07,0,3.21,0,0,0
21Day,1.34,0,0,1.34,1.34,5.35,0,0,1.34,0,0
3Month,0.96,0,0.64,0.64,0.32,0,0,0,0,0.96,0.32
22Month,0,1.09,0,0,0,0,0,0,0,0,0
