stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0.32,1.28,156.14,1.92,0.32,10.56,2.56,3.84,0.96,51.51,1.28,8,1.28,0,0.64,0.32,0.32,0,0.96,0.32,0.32,1.92,1.92,1.28,1.28,0
22Month,0,3.83,32.25,2.19,0.55,15.31,0,2.73,0.55,20.77,1.09,5.47,0,0.55,0,0,0,0,0,0,0,0,1.64,0,0,1.64
