stage,Epithelial_cell,Erythroid_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,12.26,0,0,0,0,0
72hpf,3.21,0,1.07,1.07,1.07,2.14,1.07,0,0,0,0
21Day,0,1.34,0,1.34,2.68,1.34,0,1.34,0,0,0
3Month,0.32,0,0,0,0,0,0,0,0.32,0.32,0.96
