stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,2.14,0,0,0,0,3.21,0,0,0,0,0
21Day,0,4.02,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,4.8,0.32,0,0,1.28,0,2.88,0.32,0,0.32,0.96,6.08,1.28,0,0.32,0,0,0.32,2.56,0,0,0,0,1.6,0,0,0,0.32,0.64
22Month,4.37,8.2,0,2.73,2.73,14.76,8.75,51.39,2.19,0.55,2.73,0,12.03,9.29,6.56,0,2.73,0.55,0,3.83,0.55,0.55,1.64,531.35,1.64,1.09,1.09,0.55,0,2.19
