stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,28.88,0,0,0,0,1.07,0,0,0,0
21Day,2.68,0,0,0,0,1.34,0,0,20.08,0,1.34,56.22,0,0,0,0,0,1.34,0,0,1.34
3Month,0,0,0.32,0.32,0.64,1.6,1.6,7.36,0,0.32,0.32,46.71,0.32,0.32,0.32,0.32,0,0,0.32,0.64,2.24
22Month,0,0.55,2.19,0,0,1.09,7.11,1.09,0.55,0.55,0,18.04,0.55,0,0,0,0,0.55,0,0,0.55
