stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,4.09,0,0,0,0,0,73.56,0,0,0,0,12.26,0,0,4.09,0,0,0,0,4.09,212.49,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,17.12,9.63,0,1.07,0,0,0,0,0,0,0,0,0,12.84,0,7.49,0,0,0,2.14,8.56,58.84,0,0,1.07,1.07,0,0,18.19,0,1.07,0,0,0
21Day,5.35,0,0,1.34,9.37,1.34,0,0,0,0,0,0,0,1.34,0,1.34,5.35,2.68,5.35,0,0,0,0,2.68,21.42,0,0,0,0,0,0,5.35,0,0,0,0,0
3Month,0,0.96,0.64,21.44,2.56,0,0,1.6,2.88,0,0,19.52,4.16,0.32,3.84,87.35,8,2.24,2.88,0.32,0,0.64,8.96,1.28,0.64,1.28,0,0,3.52,0.32,58.87,0.64,0,0,0.96,298.51,0.96
22Month,0,0.55,0,22.41,4.92,0,0,0.55,1.09,0.55,0,110.42,0,0,0.55,54.12,6.01,0.55,4.37,0,2.73,0.55,4.92,2.73,0.55,4.92,2.73,0,0.55,0,34.99,11.48,2.19,0,0,1.64,0.55
