stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,8.17,0,0,8.17,81.73,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,1.07,0,6.42,1.07,1.07,0,0,0,0,0,0,0,0,1.07,2.14,0,2.14,0,0,26.74,10.7,1.07,3.21,1.07,1.07,3.21,0,0,0,0
21Day,4.02,0,0,9.37,0,2.68,4.02,0,0,0,0,0,5.35,1.34,0,4.02,1.34,9.37,0,0,12.05,6.69,0,2.68,1.34,1.34,2.68,0,0,0,0
3Month,0,0.32,0.64,6.08,0,0,0.32,2.24,0,0,18.56,0.32,0.32,4.16,0.32,1.6,1.28,1.92,0,0.32,0.32,0,0.64,0.32,0.32,15.04,0,0,0.32,4.8,1.92
22Month,0,0.55,0.55,2.19,0,0,0,1.09,2.19,0,21.32,0.55,1.09,2.19,0,0,2.73,1.09,0.55,0,1.09,0,0.55,0,0,2.19,0,0,0,0,0.55
