stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,57.21,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,1.07,1.07,0,0,0,0,1.07,1.07,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,1.34,4.02,0,0,0,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0,1.34,2.68,0,0,0,0
3Month,0.32,0.64,0,8.96,0.64,0.32,0.64,0,3.52,0.96,1.6,0.64,1.28,1.92,0.64,0,0.32,0,0.32,0.32,0.64,0,0.32,0.96,127.34,0,0.64,14.08,1.6
22Month,0,0,0.55,6.01,0,0.55,0,0.55,61.77,0,2.73,0,0.55,0.55,0,1.09,0,0,0,1.09,0,25.69,0,0,111.52,0.55,0,0,0
