stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,5.35,34.23,1.07,1.07,0,0,0,2.14,1.07,0,0,0,1.07,2.14,0,0,0,0,0
21Day,0,0,1.34,14.72,6.69,0,1.34,0,0,0,0,0,1.34,5.35,0,25.43,2.68,4.02,0,0,0,4.02,0,0,0,0,0,5.35,2.68,1.34,0,0,0
3Month,0,0,0.96,8,0,0.32,0,1.92,1.6,0,139.18,0.32,0.96,19.2,2.24,0.96,1.6,2.24,0.64,0.96,3.2,0.32,0,0.64,0.32,0,0,1.28,14.4,0,0.64,4.48,1.92
22Month,0.55,3.28,1.64,10.39,0,0.55,0,3.83,10.93,7.65,674.57,1.64,1.09,31.71,0.55,0,2.19,1.64,9.29,3.28,0,0.55,0.55,0,1.64,2.73,0,0,7.65,0,0.55,0,1.64
