stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,0,4.09,8.17,16.35,0,0,8.17,40.86,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,3.21,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,3.21,3.21,0,0,0,0,0,0,0,0
21Day,1.34,0,4.02,0,2.68,0,0,0,0,2.68,0,0,2.68,0,9.37,0,0,2.68,1.34,0,0,2.68,1.34,0,1.34,0,0
3Month,0.32,0.32,3.2,0,0,0.64,0.64,2.88,1.28,0.32,0.96,0.32,0.32,0.32,0.32,0,0.32,0,0,0,0,0,0.32,2.24,0,4.16,1.6
22Month,0,0,1.09,0,0,0,1.64,5.47,0,0.55,1.09,0,0,1.64,1.09,1.09,0,0,0,0.55,2.19,0,0,0.55,0,0,0.55
