stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,16.35,12.26,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,1.07,0,0,0,0,0,0,0,0,1.07,2.14,1.07,2.14,0,0,0,1.07,4.28,0,0,4.28,0,0,0,0,0,0,0
21Day,1.34,0,0,4.02,0,0,0,0,0,0,2.68,0,1.34,16.06,6.69,5.35,0,0,0,0,1.34,0,0,1.34,0,0,0,0,1.34,0,1.34
3Month,0.64,0.32,1.28,5.12,0.32,0.32,0.32,0,2.24,0.32,0.96,13.76,0,0.64,4.48,0.96,0,0,0.64,0,0,0.64,0.32,0,0.32,2.24,0,0,0,0.64,0.64
22Month,0,1.09,3.83,6.56,0,2.19,2.19,4.92,29.52,0,1.64,56.31,0,1.09,8.75,0.55,0.55,1.09,0,0.55,0,1.09,0,0,0,3.28,1.09,0.55,0,0,0.55
