stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,53.12,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,4.28,0,1.07,0,0,10.7,10.7,0,0,1.07,1.07,0,1.07,0,0,0,0
21Day,4.02,0,0,1.34,0,0,0,0,0,0,1.34,0,1.34,0,0,1.34,4.02,5.35,0,0,0,0,2.68,1.34,1.34,0,5.35,1.34,1.34,0,0,0,0,1.34
3Month,0,0.32,0,16.32,0.32,0.64,0,2.88,1.92,0,19.2,0.64,0.96,4.8,2.24,5.44,13.76,1.28,0.96,0.32,4.48,1.28,0.64,0.96,0,0,0.32,0.64,1.92,0,0,0.64,0.64,2.88
22Month,0,0,3.83,13.67,0,0,0.55,2.73,7.65,5.47,77.08,0.55,2.19,22.41,1.64,3.28,18.59,7.11,0,1.64,1.09,0,0.55,0,1.09,0.55,0,0,12.03,0,0.55,0,0,5.47
