stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,1.07,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,0,6.42,1.07,0,0,4.28,1.07,0,1.07,0,0,0,0
21Day,0,5.35,8.03,1.34,0,1.34,0,0,0,0,0,1.34,0,0,9.37,0,12.05,0,0,0,0,0,0,0,5.35,1.34,0,0,0,0,0,0
3Month,0,15.36,10.56,0,0,0.32,0.96,0.96,0.32,18.56,1.6,0.96,1.28,1.6,2.88,2.88,25.6,2.88,4.16,0.64,0.96,0.96,1.92,0,0.32,0.32,9.28,0.32,0.64,3.84,1.28,0.96
22Month,0,31.16,6.01,0.55,0,0,1.64,1.09,8.2,26.24,1.09,1.64,1.64,0,0,5.47,40.45,1.09,2.19,0,1.64,0,1.64,0.55,3.28,0,16.95,1.64,0.55,0,0,0
