stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell
24hpf,0,8.17,0,0,0,20.43,0,4.09,0,0
72hpf,0,0,0,0,0,0,18.19,1.07,1.07,0
21Day,1.34,1.34,1.34,0,0,0,14.72,2.68,0,1.34
22Month,0,0,0,0.55,0.55,0,0,0,0,0
