stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,8.17,20.43,0,0,0,0,12.26,114.42,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,0,0,2.14,1.07,1.07,0,0,0,0,0,0,0,2.14,12.84,0,4.28,0,0,0,0,52.42,94.14,0,7.49,6.42,2.14,0,0,66.33,1.07,0,0,0
21Day,0,0,2.68,5.35,0,1.34,0,0,0,0,0,1.34,0,1.34,4.02,1.34,2.68,0,0,2.68,0,17.4,20.08,0,25.43,0,0,0,0,20.08,0,0,0,1.34
3Month,0,0.32,0.32,35.83,0,0,0.96,0.32,3.52,15.04,5.44,0.96,7.36,4.48,13.12,7.68,5.44,0.96,0.32,0.96,2.88,1.92,0,1.92,2.24,1.28,0.64,0.64,6.08,0,0,2.56,36.15,3.52
22Month,0,0,0,3.28,0,0,0,0,0.55,5.47,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0
