stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,T_cell
21Day,0,0,0,0,0,2.68,0,0,0,1.34,2.68
3Month,0.64,0.96,0.32,1.92,2.88,85.75,0.64,0.64,0.32,0,3.2
22Month,0,0,0,1.09,0,22.41,0,0,0,0,0.55
