stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,4.09,0,0,28.6,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,1.34
3Month,1.6,0.64,0,0,11.52,0.32,0,0.32,0.32,0,0.32
22Month,0.55,0,0.55,1.09,12.03,0,0,0,0,0,0
