stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,20.43,4.09,4.09,40.86,0,0,0,265.62,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,4.28,1.07,0,0,0,0,0,0,4.28,0,0,2.14,0,0,1.07,1.07,2.14,0,0,0,0,0,0
21Day,1.34,0,6.69,1.34,1.34,0,0,0,0,2.68,0,0,0,0,0,1.34,0,1.34,1.34,0,0,0,1.34,0,0,0
3Month,0,0.64,19.52,0,0,0.32,0.32,3.84,1.28,0,0.32,0,0.96,0,0.96,0.64,0.96,0,0,0.64,0.32,2.24,0,1.28,3.2,0.32
22Month,0,0,3.83,0,0,0,0,3.28,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0
