stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,1.34,0,0,0,0,1.34,0,0,72.28,0,1.34,2.68,2.68,0,0,1.34,0,5.35,0,0,0,1.34,1.34,0,0,0,1.34,0,0,0,0
3Month,0,2.24,0.96,26.88,0,5.76,13.76,8,0,33.59,12.16,0.64,1532.56,2.88,8.32,4.8,9.28,1.28,0,2.24,2.24,1.92,0.32,1.92,1.28,0.96,9.92,19.84,0.96,0,0,0,2.88,16.64,8.64
22Month,1.09,2.73,1.64,10.93,0,0.55,19.68,6.01,1.64,63.96,2.73,2.19,1911.65,0,0,6.56,8.2,0.55,3.83,1.64,0,0.55,0,1.09,4.37,0,3.28,21.87,0.55,0.55,0,0.55,0,0,1.64
