stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0
21Day,4.02,1.34,0,0,0,0,0,1.34,0,0,1.34,0,0,0
3Month,1.28,0,0.32,0,1.92,0.32,0.64,0.32,0.32,0,1.6,0.64,0,17.28
22Month,0,0,0,0.55,0,0,0,0,0,0,0,1.09,0,0
