stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,1.07,147.63,0,3.21,4.28,10.7,0,2.14,0,0,2.14,0,0,0
21Day,70.94,1.34,0,0,0,0,1.34,175.35,9.37,6.69,2.68,1.34,0,1.34,0,0,0,0,4.02,0
3Month,3.84,0,0.64,0.64,0.32,0.32,0.32,0.96,0.32,0,0,0,0,0,0.32,0.64,0,0.32,0,1.6
22Month,1.09,0,0.55,7.11,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0
