stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,167.54,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,12.26,4.09,0,36.78,0,0,0,0,8.17,81.73,0,0,0,0,0,0,0,0,0,0
72hpf,111.26,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,3.21,0,0,1.07,0,16.05,8.56,0,0,0,0,0,3.21,0,0,1.07,0
21Day,113.78,0,4.02,1.34,2.68,0,1.34,0,0,0,0,0,2.68,0,1.34,1.34,0,5.35,0,0,1.34,0,4.02,1.34,0,0,1.34,1.34,0,0,1.34,5.35,0,0
3Month,1.6,0.64,4.16,0,0,0.32,0.32,1.28,0.32,0,6.4,9.6,0,2.24,0.64,0.32,0.32,1.92,0.64,0,0,0.96,1.28,0,0.32,0,0,0,40.63,0,0,0,0.64,10.24
22Month,0,0,0,0,0,0,0,0,0,0,2.73,1.64,0,0,0,0,0,0,0,0.55,0,0,1.09,0,0,0.55,0,0,14.76,0,0,0,0,0
