stage,Granulocyte,Granulosa_cell,Mesenchymal_cell,Mt_rich_cell,Oocyte,Osteoblast
72hpf,0,0,17.12,0,0,7.49
21Day,0,0,1.34,0,0,4.02
22Month,1.64,0.55,0.55,0.55,32.25,0
