stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,3.21,0,0,0,0,0,0
21Day,4.02,0,0,5.35,0,0,0,0,0,0,0,1.34,1.34,2.68,0,0,0,1.34,0,0,0,0,0,0
3Month,0.64,0,0.32,17.92,0.32,2.24,0,92.15,0.32,4.48,0.32,1.28,1.6,1.28,0.32,0.64,0.32,1.6,0,0,0.96,0.32,0.96,0.32
22Month,0,0.55,0.55,5.47,0,1.64,1.64,113.16,0.55,12.03,0,2.73,0.55,0,3.28,0,0,0,0,0.55,0,2.19,0,0
