stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,36.78,4.09,28.6,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,12.26,16.35,32.69,0,0,0,49.04,3796.27,0,0,0,0,0,0,0,0,0,0,0
72hpf,43.86,5.35,19.26,8.56,35.3,0,0,0,1.07,0,0,0,0,0,0,3.21,40.65,5.35,33.16,0,3.21,1.07,730.67,3921.85,1.07,5.35,58.84,0,0,90.93,4.28,2.14,4.28,0,0
21Day,6.69,0,25.43,0,26.77,0,1.34,0,0,0,0,4.02,0,9.37,0,0,10.71,1.34,10.71,0,1.34,1.34,109.76,734.85,0,5.35,8.03,12.05,1.34,26.77,0,1.34,2.68,0,1.34
3Month,0.32,0,5.76,0.64,0,0.64,0,0.64,0.64,0,0,4.16,0,0.32,2.56,0,1.28,0.96,2.88,0,0.64,0.32,3.84,10.88,2.24,15.68,0,0.32,2.24,0.32,0,0,0,0.64,0.96
22Month,0.55,0,7.11,0,0,0,0,0,1.09,1.09,0,12.57,1.64,0.55,0,0,1.64,3.28,1.64,0.55,0.55,0,2.19,6.56,6.01,10.39,0,0,10.39,0,0,0,0.55,0,0
