stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,23.54,0,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,14.72,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,6.4,3.84,0,0,0,1.92,1.28,0,6.4,28.16,0,111.02,0.64,0.64,0.96,1.28,0,0.64,0.96,0,0.32,0.32,0.32,0,0,1.28,8,0,0,0.64,5.44,0.64
22Month,0.55,12.03,7.65,50.84,1.09,0,1.09,9.84,47.56,26779.52,481.6,65.6,2.73,159.62,1.64,6.01,18.59,33.89,9.84,9.29,1.64,3.83,1.64,6.56,1.09,5.47,0.55,0,1.09,9.29,7.65,1.09,0,7.11
