stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,77.64,36.78,0,89.9,0,0,0,0,0,0,0,4.09,0,0,0,0,28.6,40.86,28.6,118.51,0,0,0,110.33,13570.95,0,0,20.43,0,0,0,0,0,4.09,0,0
72hpf,67.4,9.63,0,47.07,7.49,60.98,0,0,1.07,0,0,0,0,0,0,0,10.7,93.07,20.33,62.05,6.42,3.21,0,6561.03,2164.19,0,60.98,106.98,1.07,0,261.03,5.35,2.14,10.7,0,0
21Day,22.76,1.34,6.69,29.45,1.34,76.3,0,9.37,0,1.34,0,0,4.02,2.68,16.06,5.35,1.34,18.74,9.37,60.23,0,9.37,0,1770.88,1163.19,2.68,28.11,34.8,68.27,0,176.69,8.03,10.71,4.02,0,9.37
3Month,0,0,0.32,0.96,0,0,0.96,0,0.32,0.64,0,0,4.8,0.32,0,1.92,0,2.56,1.28,0.32,0,0,0.32,0.96,0.96,0,0,0,0,2.56,0.32,0,0,0,0.96,0
22Month,0,1.09,0,2.19,0,0,0.55,0.55,1.09,3.28,0.55,0,20.23,1.09,0.55,0,0,1.64,1.09,0.55,1.09,1.64,0,0,2.19,0,1.64,0,0.55,2.73,1.64,0,0,0,0.55,0.55
