stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,1.07,0,0,0,1.07,0,0,0,0,0,0,0,1.07,5.35,4.28,3.21,0,0,0,0,0,0,0
21Day,1.34,1.34,4.02,4.02,0,0,0,0,0,91.02,0,2.68,1.34,1.34,0,0,0,0,10.71,0,6.69,1.34,0,2.68,1.34,1.34,0,33.46
3Month,0,0,1.28,0,0.32,0,0,0,0.64,1.6,0,0.64,0.32,0.96,0.64,0,0,0.32,0,0,0,0.32,0.64,0,0,0,0.32,19.52
22Month,0,0,1.64,0,0,0,0.55,0.55,0,2.19,0.55,0.55,2.19,2.73,0,1.09,0.55,0,0,0,0,0,0,0,0,0,0,28.43
