stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34
3Month,0.64,0.96,0.64,8,0,2.24,0.96,0.64,174.69,15.36,246.36,3.84,6.72,2.56,2.56,72.63,2.88,1.28,0.96,1.92,0.96,0.64,0.96,0.32,0,0.32,4.16,0.96,0.64,1.28,86.39
22Month,1.09,1.64,0,4.92,0.55,7.65,0.55,1.09,485.43,16.95,404.52,11.48,7.11,0,0.55,108.24,3.83,0,1.09,0,0,0,0,1.09,0.55,0,0,0,0,0,37.17
