stage,Cardiomyocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,0,8.17,0,24.52,0
72hpf,0,0,3.21,4.28,0,1.07
21Day,0,1.34,1.34,1.34,2.68,0
