stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,12.26,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,8.17,0,0,0,4.09,57.21,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,3.21,6.42,0,0,0,0,0,0,0,0,0,0,0,1.07,3.21,1.07,8.56,0,0,0,25.67,9.63,1.07,0,0,6.42,0,0,1.07,0,1.07,0,0,0
21Day,4.02,0,0,5.35,17.4,0,1.34,0,0,0,0,0,0,2.68,0,0,0,1.34,0,13.39,0,0,0,22.76,6.69,0,0,0,4.02,1.34,1.34,2.68,1.34,0,0,0,0
3Month,0,0.32,0,4.16,0,0,0,0.32,0.64,2.24,0,0,3.2,2.56,0.32,6.08,2.24,1.92,0.64,5.76,0.64,0.64,0.96,0.96,0,0.64,0.64,0,0,0.32,34.23,0.32,0,0.32,0.64,3.52,1.6
22Month,0,2.19,0.55,3.83,0,0.55,0.55,0,0,3.83,1.09,0,36.63,1.64,0,6.56,0,2.19,3.28,4.37,0,0.55,0,1.64,0,0,1.09,2.19,0,0,9.29,0.55,0,0,0,0,1.09
