stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,558.43,1.07,4.28,0,0,0,0,0,0,0,0,0,2.14,0,6.42,1.07,1.07,0,24.61,6.42,0,4.28,0,0,1.07,0,2.14,0,0,0
21Day,315.89,6.69,6.69,0,0,0,0,0,0,2.68,1.34,0,2.68,1.34,14.72,0,1.34,1.34,4.02,6.69,1.34,2.68,1.34,0,0,2.68,4.02,0,0,0
3Month,91.19,1.92,0,0.32,0.32,0.32,0.96,7.04,3.2,0,0.64,0.32,1.6,0.96,1.92,0,0.96,0.32,0,0,0,0.64,0,2.24,0,0,0,0.32,0.64,1.28
22Month,7.65,0.55,0,0,0,0,2.19,3.28,0.55,0,2.19,0,0,1.09,1.09,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0,0
