stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,1.07,0,0,1.07
21Day,1.34,2.68,1.34,1.34,1.34,0
