stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Primordial_germ_cell,Retinal_cone_cell
21Day,0,4.02,0,0,1.34,1.34,1.34,0,1.34,0,1.34
3Month,0.32,3.52,0.96,0.96,0.96,0.64,0.96,0,17.92,0.64,0
22Month,0,3.28,3.28,0,0,0,0,0.55,20.77,1.09,0
