stage,Goblet_cell,Granulocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,12.26,0,0
21Day,0,0,0,2.68,1.34,0
3Month,0.96,0,0.32,0.96,0,0.32
22Month,0,1.09,0,0,0,0
