stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
72hpf,0,0,0,1.07,3.21,0,0,0,0,180.79,1.07,0,0,17.12,1.07,1.07,0,0,1.07,0,0
21Day,1.34,1.34,10.71,0,5.35,0,0,0,0,215.5,1.34,0,0,6.69,1.34,0,1.34,0,0,5.35,0
3Month,0,0,18.56,0,0,0.32,1.92,0.32,0.32,7.04,0.32,0.64,0.96,0,0,0,0,0.96,0,0,0.32
22Month,0,0,4.92,0,0,0,3.28,0,0,2.73,1.09,0.55,0,0,0,0,0,0,0,0,0
