stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,3.21,13.91,0,0,0,0,0,12.84,2.14,0,2.14,0,0,0,0,0,0
21Day,0,0,10.71,1.34,0,0,0,0,0,0,0,28.11,0,0,0,0,0,4.02,0,0,1.34,0,0,0,0,0,0
3Month,0.32,0.32,5.44,0,1.92,1.28,0,20.8,0.64,11.2,0.32,1.28,3.52,1.92,0.32,0.96,0.64,0.32,0,0.32,0,0.64,0.96,0.32,0.64,0.32,1.92
22Month,0,0.55,5.47,0,0.55,0.55,0.55,5.47,0.55,7.65,0,0,1.64,0.55,0.55,1.09,0,0,0,0,0,0,0.55,0,0,0,0.55
