stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,12.26,65.38,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,28.88,2.14,0,0,0,0,0,0,0,0,0,0,8.56,282.42,1.07,3.21,0,0,0,13.91,27.81,0,0,7.49,0,0,2.14,0,0,0
21Day,1.34,0,0,155.27,0,4.02,0,2.68,0,0,0,0,0,1.34,0,20.08,66.93,0,8.03,0,12.05,0,8.03,9.37,0,0,0,4.02,0,0,0,0,0
3Month,0.64,0.64,0.96,186.85,0,0,0.64,0,0.64,0.32,0,6.4,2.88,0,2.56,28.48,8.96,1.6,1.92,0.64,1.28,1.28,1.28,0.32,0.32,0.64,0,0.96,2.56,0,0.32,1.28,1.28
22Month,0,1.09,0,49.2,0.55,0,0.55,0,0.55,3.83,0.55,8.75,0,0,0.55,14.76,2.19,2.73,1.09,0,0,0,0,0,0,0,0,0.55,0.55,0,0,0,0
