stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,16.35,4.09,8.17,8.17,0,0,0,0,16.35,61.3,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,1.07,2.14,1.07,3.21,0,0,0,0,0,0,0,0,1.07,3.21,1.07,4.28,0,0,0,0,10.7,7.49,0,5.35,0,0,3.21,0,0,0,0
21Day,0,4.02,0,14.72,0,6.69,0,0,1.34,0,1.34,0,1.34,0,2.68,2.68,1.34,12.05,0,0,0,0,1.34,2.68,0,1.34,1.34,0,0,1.34,0,0,1.34
3Month,0,2.88,0.64,11.84,0,0,0,0.64,2.56,0,9.28,0.64,0,1.92,2.88,0.96,0.96,1.92,0.32,0,0.32,0.64,0.32,0,2.56,0,0.32,7.36,0.32,0,0,13.12,0.64
22Month,0,6.01,1.64,19.68,0,0,1.64,0.55,16.95,2.73,38.27,1.09,1.09,3.28,1.09,0.55,2.19,1.09,0,2.19,0.55,0,0.55,0,0,0,0,3.28,0,0,0.55,0,0
