stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0,0,9.63,4.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,4.02,0,1.34,0,0,0,0,0,0,2.68,0,2.68,0,1.34,0,0,0,2.68,0,12.05,5.35,0,0,0,0,0,1.34,1.34,1.34,0,0,0,0
3Month,0,0.32,0.64,2.88,0.32,0,0.96,2.24,0,0,8.32,2.24,0,1.6,0.64,0.32,0.96,2.24,0.64,0,0.32,0.32,1.92,0.32,1.28,0.64,0,0.96,1.92,81.27,0.96,0,1.28,1.28,116.46,2.88
22Month,0,2.73,1.09,7.11,0,0.55,1.09,6.56,1.64,0,38.81,6.01,0.55,3.28,0,1.09,2.19,7.65,0,1.64,0.55,0,1.64,1.64,1.09,0,250.91,0,0,62.32,0.55,1.09,2.19,0,0,2.73
