stage,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,4.09,0,12.26,0,0,12.26,0
72hpf,0,0,0,0,0,0,3.21,4.28,0,4.28,4.28,0
21Day,0,0,0,0,0,1.34,0,4.02,0,5.35,0,0
3Month,0.64,8.64,1.28,4.8,1.6,0,0.32,0,0,0,0,1.28
22Month,0,2.73,2.73,1.64,0.55,0,0,1.64,0.55,0,0,0
