stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,36.78,4.09,0,0,0,0,0,0,0,0,0,4.09,16.35,32.69,0,0,0,8.17,228.84,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,6.42,4.28,0,0,0,0,0,0,1.07,0,5.35,6.42,0,3.21,0,1.07,0,31.02,27.81,1.07,0,0,0,1.07,2.14,0,0,0,0
21Day,4.02,0,1.34,4.02,0,0,1.34,0,1.34,0,0,24.09,0,0,1.34,8.03,1.34,0,0,0,8.03,1.34,0,0,1.34,0,1.34,0,0,0,0,4.02
3Month,0,0,0,13.12,0.96,0.32,0,0.32,0.96,2.88,8.64,0.64,3.2,7.04,0.32,16,1.28,0.32,0.64,1.28,2.24,0.64,0.32,0.96,0,0.64,78.07,0.64,0.64,0.32,16.96,12.8
22Month,0,0,0,2.73,0,0,0,0,1.09,3.83,1.64,0,0,0.55,0,2.73,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
