stage,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,4.09,0,0,16.35,0,0
72hpf,1.07,0,0,0,1.07,0,4.28,0,1.07,0
21Day,1.34,0,0,2.68,1.34,1.34,2.68,1.34,0,0
22Month,0,0.55,0.55,0,1.64,0,0,0,0,0.55
