stage,Hepatocyte,Macrophage,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,4.09,0,0,0
72hpf,0,0,1.07,0,0
21Day,0,0,1.34,0,0
3Month,0,0.32,0,0.32,0.64
22Month,1.09,0,0,0,0
