stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,14.72,0,0,0,0,0,0,2.68,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.32,2.56,5.44,0.64,2.56,0.32,1.92,538.79,10.88,5.12,0,4.48,0.96,2.24,80.31,1.92,0.96,0,1.92,0.64,1.92,0.32,0.64,4.8,2.88,0,0.32,1.92,4.48,1.6
22Month,0,3.28,0.55,0,7.65,0,2.19,906.35,18.04,3.28,1.64,1.64,0,0.55,160.17,1.64,0,0.55,0,0.55,0,0.55,0.55,0.55,0,0.55,1.09,0,0,1.09
