stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,16.35,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,2.14,0,1.07,0,1.07,0,175.45,11.77,54.56,3.21,0,0,1.07,0,0
21Day,1.34,0,5.35,0,0,0,2.68,1.34,0,1.34,4.02,0,0,1.34,77.63,0,21.42,1.34,4.02,0,0,0,0
3Month,0,0,0.96,0,1.28,0.32,0.32,0.32,0,0,0.32,0.32,0,0.32,0.32,0,1.92,0,0,0.64,0,0.96,0.32
22Month,0.55,0.55,0.55,0.55,9.84,0.55,0,0.55,0.55,0,2.19,0.55,0,0.55,0,0,0.55,0,0,0.55,0,1.09,1.09
