stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,14.98,68.47,0,1.07,3.21,0,0,0,1.07,0,0,1.07,0,0,0
21Day,1.34,0,0,5.35,0,0,0,0,0,1.34,2.68,12.05,1.34,37.48,726.82,0,4.02,2.68,0,0,0,6.69,17.4,1.34,0,1.34,0,2.68
3Month,0,0,0.32,1.92,0,0.96,0,5.12,0.64,0,1.28,1.28,1.28,35.19,6.4,0.64,0,0,0.32,0,0,0.32,0.32,2.24,0,0,4.16,0
22Month,0,1.64,0,1.09,0.55,0,1.09,17.49,0.55,0,1.64,0.55,0.55,2.19,3.83,0,0,0,0,0.55,0.55,0,0,1.09,0,0,0,0
