stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,4.09,0,4.09,0,0,0,4.09,0,0,0,0,0,0,4.09,0,12.26,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,1.07,1.07,1.07,0,0
21Day,0,0,0,1.34,6.69,0,0,0,0,0,4.02,0,2.68,1.34,0,0,1.34,0,0,0
3Month,0,0,0.32,0,0,0.32,0,0,1.92,0.64,0,0.32,0,0.32,0,0,0,0,0.64,0.32
22Month,0,0,0,0.55,0,0.55,0.55,0,3.28,1.09,0,0.55,0,0,0,0,0,0,0.55,0
