stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,0,4.09
72hpf,0,0,0,0,0,0,0,1.07,0
3Month,0.32,0.64,0.32,0.32,0.32,0.32,0.32,0,0
