stage,Cardiomyocyte,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,53.12,0,0,0
72hpf,0,0,0,0,3.21,2.14,1.07,0,0,0
21Day,1.34,1.34,0,0,2.68,0,0,0,0,0
3Month,0,0,1.28,0.64,0,0,0,0.32,0.32,0.32
