stage,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,4.28,2.14,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,8.03,0,0,1.34,0,0
3Month,0.32,0,0.32,0.32,0,0,0.64,0.32,0,0,0.32,0,0.32,0
22Month,0,0.55,4.92,0.55,0.55,1.09,4.37,0,0,1.09,2.19,0,0.55,0.55
