stage,Enterocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,4.09,4.09,73.56
72hpf,0,0,0,3.21,1.07
21Day,1.34,1.34,0,0,0
