stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,3.21,0,0,0,0,0,0,0,1.07,1.07,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,2.68,0,6.69,0,0,1.34,0,1.34,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0
3Month,0,0.32,0.64,7.36,0,0,0.32,1.6,3.52,11.84,1.92,1.28,3.84,0.64,2.24,1.6,7.36,2.24,0,0.32,0.64,0,0,0,0.32,0,0.64,0.32,0.32,19.52,0.32,0.64,1.6,150.7,3.2
22Month,0,0,0.55,1.09,0,0.55,0.55,0.55,1.09,15.85,0.55,3.28,3.28,0,0.55,2.19,10.39,1.64,0.55,0.55,0.55,0,0,1.09,1.64,0.55,0,0,0,19.68,0.55,0,0,1.09,1.09
