stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,44.95,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,1.07,0,8.56,0,0,0,0,0,0,349.82,2.14,0,7.49,10.7,2.14,0,0,0,1.07,0,0
21Day,0,0,99.05,1.34,0,0,0,0,0,32.12,0,1.34,4.02,1.34,0,0,1.34,2.68,0,0,0
3Month,0,0.64,40.63,0,0.32,2.24,0.32,0.64,0.32,0.96,0,0,0,0,0,0.96,0,0,0,1.28,0
22Month,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0.55
