stage,Cardiomyocyte,Epithelial_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,4.09
72hpf,0,0,0,10.7,1.07
21Day,1.34,1.34,2.68,2.68,1.34
