stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.12,3.21,0,0,0,0,0,0,1.07,0,0,1.07
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,1.34,0,0,0,1.34,0,1.34,0,0,0,0
3Month,0.32,0,0.32,6.72,0.32,2.56,9.6,1.92,0.32,1.92,0.32,0.96,1.6,3.2,0.64,0.64,1.92,0.32,0.64,0.96,1.28,0,0.96,0.96,288.91,0,1.28,106.86,1.28
22Month,0,0,0,0,0,0,6.01,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0.55,0,0,16.95,0,0,0,0
