stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
21Day,2.68,0,0,0,0,0,0,0
3Month,1.92,0.64,0.32,0.32,0.32,6.72,0.32,1.28
22Month,0,0,0,0,0,3.28,0,0
