stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,4.09,57.21,0,0,0,0,1413.9,114.42,0,0,0,4.09,0,0,0,0,126.68,0,0,0
72hpf,5.35,0,3.21,0,5.35,0,0,0,0,0,0,0,0,0,0,11.77,1.07,10.7,0,1.07,1.07,0,485.69,24.61,0,1.07,0,19.26,1.07,0,3.21,0,44.93,0,0,0
21Day,0,0,4.02,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,8.03,0,0,0,0,61.57,2.68,0,0,0,0,1.34,2.68,0,1.34,0,0,0,1.34
3Month,0,0,5.44,0.32,0,0,0.64,1.6,0,0,39.99,3.52,0.32,2.24,1.6,2.24,1.6,5.12,1.6,0,0.64,0.64,23.68,0,0.64,0.32,0,0,1.6,269.72,0.64,0,0,0.32,88.31,3.2
22Month,0,3.28,4.92,0,0,2.73,0.55,2.73,2.19,0,135.02,1.64,0,3.83,0,2.19,2.73,1.09,0,19.68,0,0,14.76,0,1.09,0.55,14.76,0,1.09,61.77,0.55,0,0,1.09,0.55,3.28
