stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,22.47,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,13.39,0,1.34,1.34,0,0
3Month,0,0,1.6,0.32,0,0,0.32,0,1.6,1.6,0,0.32,0,0.32,0.32,0.32,0,0,0,0.64,0,0.32,0.32,0.32
22Month,0,0.55,0.55,0,0.55,0.55,1.09,0.55,36.63,2.73,0.55,3.83,0.55,2.73,3.83,0,1.64,0.55,0,0,0,0,0,1.09
