stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,1.07,0,0,1.07,0,0,0,0,108.05,54.56,2.14,0,0,6.42,23.54,12.84,0,0
21Day,0,0,2.68,1.34,0,0,1.34,1.34,1.34,1.34,0,0,0,0,48.19,2.68,1.34,2.68,0,16.06,24.09,14.72,0,0
3Month,0,0,3.2,1.6,0.32,0.64,0,0.32,0.64,0.64,0.32,0,0,0.32,0.32,0,0,0,0,1.92,0.32,0,0.64,12.8
22Month,0,0,0,3.83,0,0,0,0,0,0.55,0,0.55,0.55,0,1.09,0,0,0,0.55,2.19,0,0,0,0
