stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0
72hpf,1.07,0,3.21,0,0,0,0,0,0,2.14,6.42,0,1.07,5.35,0
21Day,0,0,1.34,0,0,0,0,0,0,0,9.37,1.34,0,9.37,0
3Month,0,0.32,0,0.32,0,1.28,0.32,0,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0.55,7.11,0,0.55,0.55,0,0,0,0,0,0
