stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hatching_gland,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,24.52,8.17,12.26,12.26,0,4.09,12.26,36.78,44.95,5234.68,24.52,0,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,1.07,4.28,55.63,1.07,0,0,44.93,0,0
21Day,0,0,1.34,0,0,0,1.34,0,1.34,13.39,0,4.02,1.34,16.06,0,0
3Month,0,0,0.32,0,0,0,0,0,0,0,0,0,0.32,0,0,0.32
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0
